epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp,model
12,0.1029792372505743,0.0926132511634093,0.0003,0.2881160080432892,5.6,False,1,2026-07-30T14:29:47,TDAG-Net (ours)
13,0.1025645642981424,0.0911327645510107,0.0003,0.334566980600357,5.7,True,0,2026-07-30T14:29:52,TDAG-Net (ours)
14,0.1014983654677212,0.0897744605420055,0.0003,0.1938224881887436,5.7,True,0,2026-07-30T14:29:58,TDAG-Net (ours)
15,0.1014616300444026,0.0891969671043066,0.0003,0.2098691016435623,5.7,True,0,2026-07-30T14:30:04,TDAG-Net (ours)
16,0.1005174229269499,0.0895356290288024,0.0003,0.1619996428489685,5.7,False,1,2026-07-30T14:30:10,TDAG-Net (ours)
17,0.1004681983328127,0.0896049787464377,0.0003,0.202355682849884,5.6,False,2,2026-07-30T14:30:15,TDAG-Net (ours)
18,0.1002417956407253,0.0903650455504328,0.0003,0.2624100744724273,5.7,False,3,2026-07-30T14:30:21,TDAG-Net (ours)
19,0.0995531365930379,0.0885573282100997,0.0003,0.1942531466484069,5.7,True,0,2026-07-30T14:30:27,TDAG-Net (ours)
20,0.0992356003313274,0.0873506431478065,0.0003,0.2228280007839203,5.7,True,0,2026-07-30T14:30:33,TDAG-Net (ours)
21,0.0985424109540142,0.0880805779616911,0.0003,0.1815263628959655,5.7,False,1,2026-07-30T14:30:38,TDAG-Net (ours)
22,0.0985505098006227,0.0867255071362296,0.0003,0.2268092185258865,5.6,True,0,2026-07-30T14:30:44,TDAG-Net (ours)
23,0.0982461071276402,0.087514560587786,0.0003,0.2301942855119705,5.6,False,1,2026-07-30T14:30:50,TDAG-Net (ours)
24,0.0976496731186961,0.0865983445565779,0.0003,0.2248232960700988,5.7,True,0,2026-07-30T14:30:55,TDAG-Net (ours)
25,0.0977112500549672,0.0864470908930013,0.0003,0.2436234205961227,5.6,True,0,2026-07-30T14:31:01,TDAG-Net (ours)
26,0.0972208332229446,0.0858647091784975,0.0003,0.1961415708065033,5.7,True,0,2026-07-30T14:31:07,TDAG-Net (ours)
27,0.0968623727068796,0.0853937454931028,0.0003,0.187275156378746,5.7,True,0,2026-07-30T14:31:13,TDAG-Net (ours)
28,0.0971455793459336,0.0859095423103688,0.0003,0.2825956344604492,5.7,False,1,2026-07-30T14:31:18,TDAG-Net (ours)
29,0.0965627374884846,0.0868335114484959,0.0003,0.2793752253055572,5.6,False,2,2026-07-30T14:31:24,TDAG-Net (ours)
30,0.0966081510697092,0.0857352013853225,0.0003,0.2691785097122192,5.6,False,3,2026-07-30T14:31:30,TDAG-Net (ours)
31,0.0963858096645428,0.0857184682409842,0.0003,0.1942391842603683,5.7,False,4,2026-07-30T14:31:36,TDAG-Net (ours)
32,0.0961377437134365,0.0858845597767567,0.0003,0.2500363290309906,5.6,False,5,2026-07-30T14:31:41,TDAG-Net (ours)
33,0.0957518791431909,0.0845623234143624,0.0003,0.2112805992364883,5.7,True,0,2026-07-30T14:31:47,TDAG-Net (ours)
34,0.0957289891256081,0.0848060448418606,0.0003,0.1854499131441116,5.6,False,1,2026-07-30T14:31:53,TDAG-Net (ours)
35,0.0957002968087301,0.0853660192627173,0.0003,0.2057754248380661,5.6,False,2,2026-07-30T14:31:58,TDAG-Net (ours)
36,0.0952472619466729,0.0850928868729989,0.0003,0.1945325583219528,5.7,False,3,2026-07-30T14:32:04,TDAG-Net (ours)
37,0.0953465010274897,0.0858764746686914,0.0003,0.2920182049274444,5.6,False,4,2026-07-30T14:32:10,TDAG-Net (ours)
38,0.0952737294710599,0.0857313270424748,0.0003,0.241473451256752,5.6,False,5,2026-07-30T14:32:16,TDAG-Net (ours)
39,0.095069436270457,0.0850886628441103,0.0003,0.2320528179407119,5.6,False,6,2026-07-30T14:32:21,TDAG-Net (ours)
40,0.0946685056601251,0.0839934369938059,0.0003,0.2319911271333694,5.7,True,0,2026-07-30T14:32:27,TDAG-Net (ours)
41,0.0945025824092246,0.0837596387571685,0.0003,0.230087012052536,5.7,True,0,2026-07-30T14:32:33,TDAG-Net (ours)
42,0.0947279335705788,0.0848345872792568,0.0003,0.2570651769638061,5.6,False,1,2026-07-30T14:32:38,TDAG-Net (ours)
43,0.0944229254683295,0.083637758311662,0.0003,0.1934752315282821,5.7,True,0,2026-07-30T14:32:44,TDAG-Net (ours)
44,0.0945568154146383,0.0841121152043342,0.0003,0.2882863581180572,5.6,False,1,2026-07-30T14:32:50,TDAG-Net (ours)
45,0.0941226429500422,0.0837981334918148,0.0003,0.2406629621982574,5.6,False,2,2026-07-30T14:32:56,TDAG-Net (ours)
46,0.0940295358444308,0.0837090504202213,0.0003,0.229145810008049,5.7,False,3,2026-07-30T14:33:01,TDAG-Net (ours)
47,0.0937093262489025,0.0829906677724895,0.0003,0.2031686902046203,5.7,True,0,2026-07-30T14:33:07,TDAG-Net (ours)
48,0.093935951918036,0.0839620519552257,0.0003,0.3472517132759094,5.7,False,1,2026-07-30T14:33:13,TDAG-Net (ours)
49,0.0937454919729914,0.0832554076562871,0.0003,0.2073848396539688,5.6,False,2,2026-07-30T14:33:19,TDAG-Net (ours)
50,0.0935770141718151,0.0833155961072707,0.0003,0.2303670197725296,5.6,False,3,2026-07-30T14:33:24,TDAG-Net (ours)
51,0.0937097007101708,0.0831998481036542,0.0003,0.279870331287384,5.7,False,4,2026-07-30T14:33:30,TDAG-Net (ours)
52,0.093407289814818,0.082706215003362,0.0003,0.2388499528169632,5.7,True,0,2026-07-30T14:33:36,TDAG-Net (ours)
53,0.0932196373140419,0.0838972931461674,0.0003,0.2658017575740814,5.7,False,1,2026-07-30T14:33:42,TDAG-Net (ours)
54,0.0934030955145647,0.0824640616774559,0.0003,0.2878087162971496,5.7,True,0,2026-07-30T14:33:47,TDAG-Net (ours)
55,0.0934037836698385,0.0828306177978987,0.0003,0.2608149349689483,5.6,False,1,2026-07-30T14:33:53,TDAG-Net (ours)
56,0.0931623489974619,0.0827583234634373,0.0003,0.2769778370857239,5.7,False,2,2026-07-30T14:33:59,TDAG-Net (ours)
57,0.0928410648317127,0.0829883869942073,0.0003,0.2491308450698852,5.6,False,3,2026-07-30T14:34:04,TDAG-Net (ours)
58,0.0928432886908342,0.0829801371546237,0.0003,0.3695270121097564,5.7,False,4,2026-07-30T14:34:10,TDAG-Net (ours)
59,0.0930796622083737,0.0824236890280639,0.0003,0.3401219844818115,5.7,True,0,2026-07-30T14:34:16,TDAG-Net (ours)
60,0.0926093882584309,0.0826364598022057,0.0003,0.3056540489196777,5.7,False,1,2026-07-30T14:34:22,TDAG-Net (ours)
61,0.0927271775983192,0.0824121997415364,0.0003,0.3135753273963928,5.7,True,0,2026-07-30T14:34:27,TDAG-Net (ours)
62,0.0922721948269959,0.0824960325281698,0.0003,0.2420300096273422,5.6,False,1,2026-07-30T14:34:33,TDAG-Net (ours)
63,0.0927847123408055,0.0821355519877685,0.0003,0.3461460769176483,5.7,True,0,2026-07-30T14:34:39,TDAG-Net (ours)
64,0.0924477035200202,0.0817994578935942,0.0003,0.3189164996147156,5.7,True,0,2026-07-30T14:34:45,TDAG-Net (ours)
65,0.0922757673722047,0.0822869450836391,0.0003,0.2471429109573364,5.7,False,1,2026-07-30T14:34:50,TDAG-Net (ours)
66,0.0924918436250843,0.0818596611229273,0.0003,0.3204770088195801,5.6,False,2,2026-07-30T14:34:56,TDAG-Net (ours)
67,0.0925562149057021,0.0818857998474613,0.0003,0.3740693628787994,5.6,False,3,2026-07-30T14:35:02,TDAG-Net (ours)
68,0.09211318391365,0.0829887779450023,0.0003,0.365767627954483,5.7,False,4,2026-07-30T14:35:08,TDAG-Net (ours)
69,0.0918969509529543,0.0817111471033358,0.0003,0.2742232382297516,5.7,True,0,2026-07-30T14:35:13,TDAG-Net (ours)
70,0.0918442282211649,0.0812161471490021,0.0003,0.273456871509552,5.7,True,0,2026-07-30T14:35:19,TDAG-Net (ours)
71,0.091724420101433,0.08117984186162,0.0003,0.2146385759115219,5.7,True,0,2026-07-30T14:35:25,TDAG-Net (ours)
72,0.0916366693573993,0.0813986732737048,0.0003,0.2263348549604416,5.7,False,1,2026-07-30T14:35:31,TDAG-Net (ours)
73,0.0917311418678734,0.0815024499955413,0.0003,0.3044686019420624,5.7,False,2,2026-07-30T14:35:36,TDAG-Net (ours)
74,0.0917140559835748,0.0824796300749857,0.0003,0.2475975155830383,5.6,False,3,2026-07-30T14:35:42,TDAG-Net (ours)
75,0.091469453553577,0.0815945035153692,0.0003,0.3186404109001159,5.7,False,4,2026-07-30T14:35:48,TDAG-Net (ours)
